iIdEmpresa,iIdBodega,iIdproducto ,dCantidad
1,6,76,2.0000
1,6,77,1.0000
1,1,95,0.0000
1,1,96,0.0000
1,1,100,0.0000
1,1,104,0.0000
1,6,84,3.0000
1,6,88,3.0000
1,6,90,1.0000
1,6,93,8.0000
1,6,83,3.0000
1,6,85,3.0000
1,6,87,3.0000
1,6,91,1.0000
1,6,99,2.0000
1,1,108,0.0000
1,6,106,5.0000
1,6,107,1.0000
1,6,43,4.0000
1,1,112,3.0000
1,1,113,0.0000
1,1,114,1.0000
1,6,113,4.0000
1,6,109,11.0000
1,6,110,11.0000
1,1,111,0.0000
1,1,119,27.0000
1,1,126,1.0000
1,1,127,0.0000
1,1,132,4.0000
1,1,134,3.0000
1,1,135,0.0000
1,1,133,11.0000
1,1,141,0.0000
1,1,142,0.0000
1,1,138,0.0000
1,6,141,51.0000
1,6,142,77.0000
1,6,144,3.0000
1,1,145,0.0000
1,1,146,0.0000
1,1,147,0.0000
1,1,148,0.0000
1,1,150,0.0000
1,1,151,0.0000
1,5,136,13.0000
1,6,150,39.0000
1,6,151,3.0000
1,1,152,0.0000
1,1,153,0.0000
1,1,155,2.0000
1,1,158,0.0000
1,6,158,1.0000
1,3,140,4.0000
1,6,16,4.0000
1,6,40,6.0000
1,6,145,15.0000
1,6,60,1.0000
1,6,61,1.0000
1,1,161,0.0000
1,1,162,0.0000
1,3,108,4.0000
1,3,164,468.0000
1,1,165,0.0000
1,1,166,0.0000
1,1,167,0.0000
1,6,167,525.0000
1,1,168,5.0000
1,6,168,507.0000
1,1,170,0.0000
1,1,172,0.0000
1,1,173,0.0000
1,3,172,3829.0000
1,3,173,200.0000
1,1,171,0.0000
1,1,67,0.0000
1,1,177,0.0000
1,1,180,0.0000
1,1,181,0.0000
1,1,183,0.0000
1,1,174,0.0000
1,1,175,0.0000
1,1,176,17.0000
1,1,178,0.0000
1,1,179,0.0000
1,3,67,2.0000
1,3,130,2.0000
1,3,181,304.0000
1,3,182,7.0000
1,3,183,2.0000
1,3,175,8.0000
1,3,176,403.0000
1,7,37,48.0000
1,7,112,1.0000
1,7,115,15.0000
1,7,135,3.0000
1,7,6,10.0000
1,1,184,0.0000
1,3,184,150.0000
1,5,170,425.0000
1,1,187,0.0000
1,1,188,3.0000
1,1,189,0.0000
1,6,186,167.0000
1,3,189,3.0000
1,1,191,0.0000
1,1,193,2.0000
1,3,192,178.0000
1,1,195,0.0000
1,6,195,37.0000
1,1,196,12.0000
1,6,196,12.0000
1,5,115,10.0000
1,1,198,2.0000
1,1,199,0.0000
1,3,198,7.0000
1,3,199,8.0000
1,5,181,3.0000
1,5,185,110.0000
1,1,197,0.0000
1,5,177,3.0000
1,5,198,2.0000
1,6,194,1.0000
1,5,42,2.0000
1,5,197,300.0000
1,1,200,0.0000
1,3,178,3.0000
1,3,200,54.0000
1,1,201,0.0000
1,1,202,0.0000
1,6,118,3.0000
1,3,201,69.0000
1,7,126,7.0000
1,7,70,3.0000
1,7,148,4.0000
1,7,40,2.0000
1,7,42,1.0000
1,7,122,3.0000
1,7,142,1.0000
1,7,43,2.0000
1,7,45,2.0000
1,7,187,13.0000
1,6,140,1.0000
1,5,202,7.0000
1,1,203,0.0000
1,1,204,0.0000
1,6,204,10.0000
1,6,199,1.0000
1,5,203,2.0000
1,6,171,1.0000
1,7,49,5.0000
1,1,206,0.0000
1,1,205,0.0000
1,6,205,2.0000
1,1,207,0.0000
1,3,206,9.0000
1,1,208,0.0000
1,1,209,0.0000
1,1,210,0.0000
1,1,211,0.0000
1,5,211,170.0000
1,6,209,2.0000
1,5,40,1.0000
1,1,212,0.0000
1,1,213,0.0000
1,1,214,0.0000
1,3,207,4.0000
1,3,214,1.0000
1,5,214,1.0000
1,5,212,100.0000
1,1,215,0.0000
1,6,192,3.0000
1,1,217,0.0000
1,1,216,0.0000
1,1,218,0.0000
1,3,68,37.0000
1,3,217,4.0000
1,5,210,1950.0000
1,6,216,1.0000
1,5,213,170.0000
1,3,167,2.0000
1,6,48,9.0000
1,7,108,1.0000
1,7,162,2000.0000
1,1,221,0.0000
1,1,222,0.0000
1,1,219,0.0000
1,1,220,0.0000
1,3,221,4.0000
1,3,219,2.0000
1,7,61,1.0000
1,7,196,4.0000
1,7,68,10.0000
1,7,218,2.0000
1,7,7,8.0000
1,7,181,4.0000
1,7,207,1.0000
1,7,217,3.0000
1,7,215,1.0000
1,1,223,0.0000
1,1,224,0.0000
1,6,224,3.0000
1,5,224,2.0000
1,3,220,2.0000
1,1,225,0.0000
1,1,226,0.0000
1,3,124,1.0000
1,3,213,20.0000
1,1,227,0.0000
1,3,46,1.0000
1,3,224,2.0000
1,8,179,1.0000
1,8,213,10.0000
1,8,224,1.0000
1,3,223,1.0000
1,3,185,40.0000
1,6,227,1.0000
1,6,223,1.0000
1,6,212,100.0000
1,5,226,1.0000
1,1,228,500.0000
1,1,229,30.0000
1,5,229,222.0000
1,3,211,90.0000
1,6,135,9.0000
1,3,222,2.0000
1,7,117,5.0000
1,6,225,1.0000
1,7,206,2.0000
1,8,46,2.0000
1,8,229,120.0000
1,1,230,0.0000
1,1,231,0.0000
1,5,231,118.0000
1,8,116,1.0000
1,1,232,400.0000
1,3,232,7100.0000
1,5,199,1.0000
1,5,206,1.0000
1,1,234,118.0000
1,1,233,81.0000
1,8,226,1.0000
1,8,228,20.0000
1,8,234,94.0000
1,5,233,651.0000
1,1,235,357.0000
1,8,233,52.0000
1,8,235,52.0000
1,5,234,614.0000
1,5,235,609.0000
1,1,236,1.0000
1,7,4,6.0000
1,7,10,1.0000
1,7,62,2.0000
1,7,160,3.0000
1,7,208,5.0000
1,7,116,1.0000
1,7,185,11.0000
1,7,174,1.0000
1,7,222,3.0000
1,7,235,27.0000
1,3,236,2.0000
1,1,237,0.0000
