CodigoNOM,U# De Ent,CANT,idcodigo
01.003.0037,FUNDA,1,39
01.003.0038,CAJA,2,40
01.003.0039,UNIDADES,3,41
01.003.0041,UNIDADES,1,43
01.003.0043,UNIDADES,1,45
01.003.0044,KIT,5,46
01.003.0053,KIT,1,55
01.003.0054,UNIDADES,2,56
01.003.0055,UNIDADES,6,57
01.003.0064,UNIDADES,1,66
01.003.0066,UNIDADES,3,68
01.003.0067,UNIDADES,3,69
01.003.0069,UNIDADES,1,71
01.003.0071,UNIDADES,1,73
01.003.0074,UNIDADES,1,76
01.003.0077,FUNDA,2,79
01.003.0079,UNIDADES,2,486
01.003.0080,UNIDADES,1,487
01.003.0081,UNIDADES,1,488
01.003.0082,UNIDADES,2,489
01.003.0083,UNIDADES,3,490
01.003.0085,UNIDADES,2,492
01.003.0086,UNIDADES,2,493
01.003.0087,UNIDADES,1,494
01.003.0088,UNIDADES,1,495
01.003.0089,CAJA,2,496
01.003.0090,UNIDADES,1,497
01.003.0095,UNIDADES,1,567
01.005.0001,UNIDADES,1,81
01.005.0002,UNIDADES,11,82
01.005.0004,UNIDADES,2,84
01.005.0006,UNIDADES,3,86
01.005.0007,CAJA,1,87
01.005.0008,UNIDADES,1,88
01.005.0010,UNIDADES,5,90
01.005.0011,CAJA,1,91
01.005.0012,CAJA,1,92
01.005.0013,UNIDADES,28,93
01.005.0014,UNIDADES,2,94
01.005.0016,UNIDADES,56,96
01.005.0017,UNIDADES,47,97
01.005.0018,UNIDADES,13,98
01.005.0019,UNIDADES,2,99
01.005.0020,UNIDADES,3,100
01.005.0021,UNIDADES,1,101
01.005.0022,UNIDADES,4,102
01.005.0023,METROS,20,103
01.005.0024,UNIDADES,4,104
01.005.0025,UNIDADES,9,105
01.005.0026,UNIDADES,10,106
01.005.0027,UNIDADES,3,107
01.005.0028,UNIDADES,1,108
01.005.0030,UNIDADES,36,110
01.005.0033,UNIDADES,66,113
01.005.0034,UNIDADES,100,114
01.005.0035,UNIDADES,10,115
01.005.0036,UNIDADES,21,116
01.005.0037,UNIDADES,18,117
01.005.0038,UNIDADES,6,118
01.005.0039,UNIDADES,1,119
01.005.0040,UNIDADES,5,120
01.005.0041,UNIDADES,10,121
01.005.0043,UNIDADES,3,123
01.005.0044,UNIDADES,8,124
01.005.0045,UNIDADES,10,125
01.005.0046,UNIDADES,1,126
01.005.0047,UNIDADES,2,127
01.005.0051,UNIDADES,2,131
01.005.0054,UNIDADES,1,134
01.005.0055,CAJA,2,135
01.005.0056,CAJA,2,136
01.005.0057,UNIDADES,110,137
01.005.0058,UNIDADES,5,138
01.005.0059,UNIDADES,2,139
01.005.0061,UNIDADES,1,141
01.005.0062,UNIDADES,2,142
01.005.0064,CAJA,6,144
01.005.0065,CAJA,24,145
01.005.0066,CAJA,4,146
01.005.0067,CAJA,11,147
01.005.0068,CAJA,8,148
01.005.0069,CAJA,2,149
01.005.0071,KIT,2,151
01.005.0072,CAJA,2,152
01.005.0073,CAJA,1,153
01.005.0074,UNIDADES,7,154
01.005.0075,UNIDADES,3,155
01.005.0076,UNIDADES,8,156
01.005.0077,UNIDADES,2,157
01.005.0078,UNIDADES,9,158
01.005.0079,UNIDADES,6,159
01.005.0080,UNIDADES,2,160
01.005.0082,UNIDADES,9,162
01.005.0083,UNIDADES,5,163
01.005.0085,UNIDADES,20,165
01.005.0086,UNIDADES,4,166
01.005.0087,UNIDADES,1,167
01.005.0093,UNIDADES,2,173
01.005.0095,UNIDADES,1,498
01.005.0097,UNIDADES,20,500
01.005.0098,CAJA,1,501
01.005.0099,CAJA,1,502
01.005.0100,UNIDADES,3,503
01.005.0101,UNIDADES,8,504
01.005.0102,UNIDADES,12,505
01.005.0103,UNIDADES,4,506
01.005.0104,UNIDADES,1,507
01.005.0105,UNIDADES,4,508
01.005.0106,UNIDADES,2,509
01.005.0107,UNIDADES,3,510
01.005.0108,UNIDADES,3,511
01.005.0110,UNIDADES,1,513
01.005.0111,UNIDADES,1,514
01.005.0112,UNIDADES,3,515
01.005.0113,UNIDADES,4,516
01.005.0114,UNIDADES,4,517
01.005.0115,UNIDADES,1,518
01.005.0116,UNIDADES,3,519
01.005.0117,UNIDADES,1,520
01.005.0118,UNIDADES,2,521
01.005.0120,UNIDADES,3,523
01.005.0121,UNIDADES,1,524
01.005.0122,UNIDADES,1,525
01.005.0123,UNIDADES,2,526
01.005.0124,UNIDADES,1,527
01.005.0125,UNIDADES,1,528
01.005.0126,GRAMOS,22000,529
01.005.0127,GRAMOS,1000,530
01.005.0129,GRAMOS,5000,532
