iIdConsultorio,CodReferencia,iidproducto,Cantidad,CantidadUsada
4,796,102,63,177
3,873,1092,0,0
2,966,118,0,0
5,702,14,70,22
4,905,497,4,4
3,870,717,0,0
5,866,1783,94,82
11,249,911,0,0
2,888,72,224,57
6,658,1283,0,0
5,807,103,129,32
19,165,497,145,275
3,854,1564,1,1
5,9,498,0,0
3,873,24,10,11
3,873,794,0,0
2,36,155,902,129
2,526,925,1031,90
3,465,565,0,0
4,781,88,3,9
4,895,1628,100,96
3,857,107,197,157
7,918,90,0,0
19,108,102,2,4
16,587,120,0,0
6,781,533,0,0
7,413,714,0,0
4,748,1024,1,1
2,45,633,0,0
16,322,1056,585,394
5,355,1082,1,1
5,325,936,0,0
2,932,716,0,0
2,787,1486,0,0
2,891,487,119,110
19,136,1018,627,236
3,63,545,0,0
2,966,1569,0,0
19,164,540,0,0
4,884,45,0,0
16,614,1451,1,2
18,116,565,0,0
5,843,20,15,31
4,732,586,0,0
11,343,788,0,0
2,926,719,7,7
2,231,490,24,23
16,614,535,1,1
16,601,1096,1,1
16,279,14,1,1
3,793,1066,17,20
3,635,67,310,235
3,851,714,0,0
2,688,510,0,0
2,540,1280,0,0
1,26,535,0,0
2,964,1592,0,0
4,873,85,0,0
6,543,118,4,2
2,645,905,0,0
19,165,1104,67,193
4,707,1479,0,0
16,415,34,0,0
4,540,1021,760,355
4,895,1138,14,24
3,727,41,0,0
5,868,715,27,68
4,902,534,0,0
5,97,486,0,0
19,145,660,0,0
4,737,846,1418,57
2,741,567,730,2
4,422,1158,15,9
2,963,109,0,0
3,816,1289,0,0
19,16,494,0,0
2,898,733,232,43
2,962,1274,0,0
5,366,71,0,0
2,55,46,0,0
16,193,761,0,0
3,787,1561,29,7
19,1,99,4,2
16,509,718,48,20
4,536,1032,82,9
16,202,947,0,0
4,849,33,0,0
16,263,94,135,132
3,876,1,0,0
5,483,68,34,20
5,671,838,4,2
3,854,84,149,158
11,376,1195,0,0
16,242,260,1,3
19,35,1058,0,0
11,364,1092,0,0
2,780,69,0,0
6,874,1480,5,8
1,16,947,0,0
11,172,946,0,0
2,869,1463,0,0
16,383,675,0,0
4,442,73,0,0
2,796,6,0,0
19,135,1516,0,0
18,147,662,31,28
11,401,794,0,0
16,433,71,19,94
2,237,959,0,0
3,362,1140,33,59
4,781,663,358,14
3,477,141,4,4
11,386,960,0,0
2,718,43,0,0
4,723,1058,0,0
3,821,536,0,0
16,523,154,0,0
16,402,383,0,0
4,540,600,0,0
4,830,142,81,26
6,414,733,82,54
18,35,536,425,296
3,848,38,36,42
2,190,916,0,0
3,804,662,2,1
6,423,670,112,47
2,368,999,0,0
16,596,715,0,0
4,127,16,0,0
14,1,931,0,0
3,846,1475,0,0
2,758,66,2566,9
2,718,836,0,0
4,732,99,1,5
19,161,33,8,3
3,779,1017,0,0
3,75,18,254,142
2,859,690,3,1
5,176,904,0,0
5,649,675,0,0
4,703,494,0,0
3,682,1183,39,6
16,492,838,13,13
16,502,68,56,48
11,236,110,0,0
5,404,947,0,0
6,36,381,0,0
2,866,1480,3,3
4,760,660,0,0
5,369,489,0,0
6,784,1005,0,0
5,376,260,0,0
4,607,514,0,0
5,180,718,372,48
2,42,23,795,71
2,645,793,0,0
4,881,1596,0,0
3,629,1309,0,0
5,363,31,0,0
19,164,534,0,0
3,17,81,0,0
4,699,56,9,13
6,874,535,0,0
16,569,15,55,52
16,296,785,0,0
4,895,714,0,0
11,319,660,0,0
19,161,714,10,16
3,686,85,0,0
4,332,110,1,1
16,492,639,118,60
19,157,7,53,111
3,592,1021,531,240
11,401,514,0,0
5,674,719,310,41
5,862,490,2,2
6,538,34,0,0
4,750,1066,347,124
3,658,689,0,0
2,104,787,0,0
4,726,67,153,38
16,614,118,5,7
5,252,633,0,0
11,372,537,0,0
18,39,1024,0,0
6,14,100,0,0
5,366,487,3,1
5,840,716,38,70
4,634,4,0,0
16,214,1074,46,17
5,843,1569,0,0
18,141,1628,145,188
16,590,533,0,0
6,263,1036,0,0
2,688,790,0,0
2,807,20,0,0
3,862,45,32,17
6,543,120,1,2
3,635,586,4,4
5,762,72,0,0
2,966,103,8,12
7,370,1104,0,0
1,25,1283,0,0
5,34,155,88,47
4,876,24,26,23
4,685,794,509,31
19,37,488,941,51
4,884,1564,0,0
19,161,717,107,320
2,11,498,0,0
4,665,565,0,0
3,649,88,0,0
4,726,107,1,1
11,234,912,0,0
16,120,1094,6,4
3,692,1024,0,0
3,707,1018,0,0
4,511,156,0,0
5,433,493,3,3
2,966,535,0,0
2,179,847,58,2
16,536,490,0,0
3,862,1101,0,0
16,427,719,22,30
3,698,102,383,650
5,857,118,0,0
19,153,24,3713,120
18,147,540,4,4
19,89,794,0,0
3,867,497,0,0
19,96,107,1183,79
4,890,717,8,19
2,784,14,0,0
4,694,488,2998,197
2,744,1096,0,0
3,876,540,0,0
4,534,1195,0,0
2,387,492,0,0
5,810,15,239,105
18,124,102,408,296
2,270,34,0,0
5,616,639,333,17
3,876,1476,0,0
2,356,1099,0,0
2,383,870,0,0
16,357,384,0,0
19,37,67,0,0
6,876,624,126,87
16,584,72,72,65
2,207,495,0,0
2,462,1036,0,0
2,258,37,0,0
4,732,70,220,37
4,790,1610,0,0
2,932,120,0,0
2,29,661,1997,40
4,839,923,108,35
2,519,1202,0,0
16,580,1569,13,13
11,292,992,0,0
11,401,534,0,0
6,874,103,32,34
3,760,1104,0,0
16,444,487,92,22
4,839,1006,0,0
16,611,716,30,96
16,536,1486,0,0
4,860,7,0,0
2,872,1056,1734,259
2,43,57,0,0
17,8,535,0,0
3,568,1270,0,0
2,944,1139,0,0
5,721,533,0,0
5,404,1074,0,0
2,958,1451,0,0
4,163,173,298,147
19,108,1289,0,0
5,868,1480,28,34
2,667,1405,0,0
3,596,660,0,0
19,97,1581,5828,738
2,877,947,0,0
19,161,41,0,0
2,724,718,2199,118
4,661,1309,0,0
3,692,514,0,0
11,94,792,0,0
2,869,489,7,8
2,614,260,2,2
2,24,31,0,0
4,17,81,863,37
3,197,56,9,90
16,418,1463,0,0
4,905,1475,0,0
3,280,16,0,0
18,141,1596,162,128
5,554,66,345,19
3,692,99,16,66
11,411,981,0,0
4,895,1017,224,13
6,11,380,0,0
2,964,1591,0,0
5,837,690,0,0
16,569,6,3,3
19,58,21,2,4
19,84,1561,0,0
6,810,151,0,0
3,686,494,0,0
3,865,142,1,3
4,870,38,58,30
18,128,142,73,67
6,158,383,0,0
2,326,1053,0,0
6,791,154,0,0
2,964,1594,0,0
4,809,662,57,19
16,612,109,6,4
2,673,1448,0,0
19,110,1,0,0
4,777,1057,540,104
2,136,761,0,0
3,682,663,0,0
4,446,1140,0,0
16,584,733,75,37
4,508,141,83,3
3,873,1516,0,0
16,357,982,0,0
3,713,1058,0,0
2,969,927,0,0
4,744,536,0,0
16,584,670,85,59
1,26,109,0,0
3,477,600,3,2
11,119,712,0,0
16,525,690,21,18
5,317,69,0,0
4,737,44,1,1
19,9,536,0,0
6,384,947,0,0
16,431,66,546,35
16,193,836,0,0
11,370,789,0,0
6,882,260,12,16
3,484,73,0,0
3,366,1155,0,0
5,666,6,77,7
11,409,540,0,0
3,862,1032,46,16
16,612,1480,0,0
3,768,33,0,0
4,895,1,3,4
2,680,68,52,3
4,361,84,0,0
6,635,675,10,15
2,190,921,0,0
3,596,511,0,0
7,231,494,0,0
2,721,675,0,0
5,785,733,0,0
5,118,46,0,0
4,410,21,26,22
4,788,1561,0,0
9,482,1486,0,0
19,150,1475,0,0
2,744,71,76,26
16,404,979,0,0
19,141,1017,669,394
2,941,154,0,0
2,969,924,0,0
5,798,670,0,0
18,144,534,3,3
3,865,1138,6,12
3,635,1450,30,23
4,769,1581,0,0
4,729,41,2,2
2,549,632,0,0
7,853,663,0,0
6,871,303,293,200
4,536,665,0,0
3,873,534,0,0
2,932,715,0,0
3,377,1158,2,4
4,865,1289,492,141
5,851,109,0,0
16,415,1092,0,0
4,895,719,57,81
4,852,490,1,1
6,882,540,0,0
4,162,261,249,113
11,397,904,0,0
5,195,754,0,0
16,590,488,1608,225
2,729,835,4310,84
16,612,717,56,51
2,656,1376,53,17
5,699,67,800,24
3,97,17,0,0
5,732,1066,1751,106
2,673,689,11,3
5,789,714,0,0
19,16,533,0,0
6,486,1101,0,0
6,762,102,1446,5342
19,150,1595,0,0
2,24,85,0,0
3,870,103,1,1
4,868,72,12,12
5,595,565,0,0
2,729,88,114,9
18,144,103,17,17
5,587,794,7,3
5,753,24,284,50
4,648,925,88,1
5,758,107,7,1
10,117,142,0,0
16,431,70,0,0
2,929,1024,1,1
19,165,118,31,33
16,601,7,42,40
2,3,108,16,5
4,868,716,0,0
4,905,487,143,96
4,873,1569,0,0
16,590,714,13,22
5,369,4,0,0
2,676,1273,0,0
