iidGarantia,iidDetalle
167908,167352
167910,167500
167911,167501
167912,167727
167913,167726
168286,50646
168287,50647
168288,167779
169013,80578
169229,151031
169337,169129
169339,169130
169340,169131
169341,169132
169342,169133
169343,169136
170756,152757
171112,162748
171271,147105
171272,147105
171273,147105
171274,147105
171275,147105
171276,147105
171277,147105
171412,167086
171427,157440
171700,147116
171705,147116
171706,147116
171708,147116
171712,147116
171713,147116
171733,146580
171782,141432
171910,69574
172233,168868
172314,172118
172375,171970
172376,171972
172393,168916
172407,144832
172412,171959
172624,128138
172626,128138
172664,149166
172706,172664
172712,154902
172811,153220
172907,144687
172944,162695
172945,162697
173278,140472
173569,145536
173966,163824
173976,163824
174145,136541
174163,174144
174164,164259
174276,164259
174278,164259
174280,169624
175152,126221
175252,126949
175339,162805
175407,157319
175469,175254
175471,175255
175473,175256
175474,175259
175475,175288
175476,175257
175616,156781
175646,103558
175681,155863
175682,156646
175685,173579
175750,99973
175828,103557
176158,113000
176176,103557
176723,159444
177274,173249
177995,78081
177996,78082
177997,78083
177998,78084
178000,78085
178010,78086
178280,154819
178940,174298
179003,167247
179136,133032
179398,176974
179451,175295
179513,167999
179522,177160
179523,177161
179644,160711
179756,122791
180163,173936
180329,179496
180543,179837
180642,179658
180643,179660
180827,139921
180986,130649
181133,134266
181135,134467
181165,178685
181285,86451
181328,156732
181329,156502
181400,178665
181604,131132
181743,179015
181802,65311
182120,110060
182146,178690
182249,181625
182287,181635
182394,168047
182540,169294
182591,180112
182613,179262
183391,166593
183545,175919
183910,117989
183982,166771
183983,166817
184178,164181
184179,165024
184180,164193
184181,164194
184182,164198
184183,164199
184390,120990
184462,170488
185037,153811
185397,185037
185446,174251
185567,168551
185568,174492
185617,184763
185747,168979
185802,177699
185997,185112
186581,126221
186803,174174
186804,174174
186854,177615
187242,133940
187267,133940
187268,187267
187462,133940
187464,134110
187465,134111
187972,142316
187973,142316
188077,183454
188505,183606
188794,157596
188795,157615
188914,184381
189319,174251
189412,103400
189454,174492
189456,174493
189514,145489
189601,183764
189631,146159
189888,140790
189889,140791
189890,140792
189897,189768
190004,146159
190195,159538
190210,189770
190225,132582
190248,140744
190249,140744
190250,140744
190318,187965
190451,132584
190452,132711
190576,186258
190690,189291
190780,180509
190802,189555
191032,185567
191379,182126
191411,187331
191668,191658
191703,186191
191925,170234
191978,167892
192006,183391
192007,166592
192048,168048
192149,168042
192224,166771
192226,166771
192227,166817
192228,166817
192359,12045
193141,191519
193172,179235
193182,193119
193210,180537
193382,158103
193388,120848
193409,188425
193589,184509
193624,193246
193626,193247
193627,193249
193818,193258
193819,193260
193820,193262
193854,193232
193855,193229
193980,137393
193981,137393
193991,137393
193992,137393
193993,137394
193994,137394
193995,137394
193996,137590
193997,137590
195544,184745
195557,139479
195656,186690
195658,189544
195706,184920
195712,185630
195758,166550
195770,194483
195853,139615
195944,120789
196149,196023
196150,196024
196305,186691
196354,186321
197009,141301
197010,141303
197011,141307
197075,194055
197179,187293
197292,187602
197692,186060
197718,65489
198289,183652
198418,197247
198439,188425
198440,188425
199410,164882
199607,165565
199608,177673
200511,194488
200852,179618
200930,187602
201000,181988
201136,110531
201415,190690
201453,201446
201513,201326
201519,111382
201527,199011
201540,190802
201644,194859
201690,201127
201737,141622
201738,141624
201743,139964
201784,195065
201868,187453
201870,143290
201871,143294
201891,87753
201908,165452
202015,194690
202022,165624
202060,201553
202073,166513
202258,140784
202311,200577
202329,200681
202376,188680
202419,141277
202460,141295
202492,121117
202493,202210
202575,202232
202622,197373
202676,160768
203148,121623
203149,121625
203296,75746
203419,193935
203705,197371
203842,188238
203843,188239
203845,188394
204897,153814
205184,195081
205802,192746
205899,186813
206152,160976
206288,205161
206363,206200
206393,162175
206445,205413
206446,205668
206658,195193
206661,205305
206743,203842
206744,203843
206755,188244
206812,145335
206929,122157
206930,123182
207084,149751
207126,175690
207150,185486
207151,206854
207152,188249
207153,188251
207313,156940
207431,199410
207467,153681
207488,199607
207540,206503
207661,166620
207680,195867
207709,201876
207807,201877
207811,204784
207945,207811
207952,201996
208036,204953
208119,201529
208216,207792
208228,205002
208305,207207
208306,25745
208480,201136
208481,206478
208482,206478
208537,186138
208547,202879
208566,186821
208668,207544
208683,208005
208901,5942
209013,207688
209326,207084
209330,208047
209465,207313
209770,201028
210278,184390
210386,154052
210388,154053
210391,154054
210409,121586
210450,121589
210729,210450
210864,207349
210865,207359
210867,207351
210880,199152
211238,209502
211485,201517
211610,207528
211922,210392
211970,194487
211971,194488
211972,194489
212050,211006
212389,201551
212480,207346
212494,192288
212589,210054
212699,207700
212810,207797
213058,187305
213096,181673
213097,178421
213214,142009
213330,109296
213482,181674
213483,181674
213484,178538
213529,197879
213556,207126
213588,178538
213713,155909
213721,187587
213747,142015
213772,205487
213856,197179
213903,181675
213911,156065
214000,200930
214002,156071
214058,182253
214061,109297
214135,189416
214149,202188
214282,204477
214287,204744
214346,109298
214347,214000
214558,208547
214596,211492
214607,214346
215056,188011
215057,188012
215058,188013
215438,187255
215503,215050
215804,206743
215805,206755
215858,213012
216056,198706
216216,213456
216283,202186
216285,153531
216305,172126
216434,208321
216480,207544
216513,202361
216515,202695
216516,153714
216639,213841
216698,159495
216794,159497
216840,159499
216881,200721
216882,200730
217192,213462
217193,213463
217248,213465
217249,213466
217251,213467
217253,213470
217290,207723
217291,207722
217654,177048
217749,215373
217889,215628
218062,178421
218153,177494
218236,216060
218384,192855
218598,216060
218680,215099
218726,167907
218728,162482
218890,163196
