iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,87,2,6.0000,6,6.0000,33.00
1,1,10,110,4.0000,3,4.0000,25.00
1,1,91,52,1.0000,6,1.0000,1.00
1,1,6,7,1.0000,6,1.0000,0.00
1,1,19,34,5.0000,6,5.0000,5.00
1,1,21,56,1.0000,6,1.0000,1.00
1,1,22,4,4.0000,6,4.0000,15.00
1,1,42,77,1.0000,6,1.0000,0.00
1,1,42,29,1.0000,6,1.0000,2.00
1,1,45,82,3.0000,6,3.0000,0.00
1,1,45,85,3.0000,6,3.0000,0.00
1,1,45,93,8.0000,6,8.0000,0.00
1,1,48,2,6.0000,6,6.0000,8.00
1,1,51,52,1.0000,6,1.0000,5.00
1,1,53,51,5.0000,6,5.0000,6.00
1,1,56,4,6.0000,6,6.0000,14.00
1,1,56,51,6.0000,6,6.0000,0.00
1,1,59,111,3.0000,6,3.0000,0.00
1,1,65,11,1.0000,6,1.0000,0.00
1,1,65,36,1.0000,6,1.0000,9.00
1,1,68,14,6.0000,6,6.0000,2.00
1,1,1,116,1.0000,4,1.0000,5.00
1,1,69,3,2.0000,6,2.0000,9.00
1,1,71,3,4.0000,6,4.0000,5.00
1,1,71,4,2.0000,6,2.0000,2.00
1,1,71,51,10.0000,6,10.0000,9.00
1,1,74,4,2.0000,6,2.0000,0.00
1,1,75,2,5.0000,6,5.0000,10.00
1,1,76,68,1.0000,6,1.0000,1.00
1,1,77,3,6.0000,6,6.0000,11.00
1,1,77,4,2.0000,6,2.0000,8.00
1,1,77,51,8.0000,6,8.0000,1.00
1,1,77,119,5.0000,6,5.0000,10.00
1,1,80,119,3.0000,6,3.0000,7.00
1,1,10,10,1.0000,5,1.0000,0.00
1,1,5,110,2.0000,3,2.0000,9.00
1,1,5,109,1.0000,3,1.0000,0.00
1,1,114,4,3.0000,6,3.0000,5.00
