iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
369,9.10436E+11,1,1130705549,32720,001-002-000000058,N,NULL,NULL
370,9.10436E+11,1,1130705549,32720,001-002-000000058,N,NULL,NULL
371,9.10436E+11,1,1130705549,32720,001-002-000000058,N,NULL,NULL
372,9.09807E+11,1,1130503926,34225,001-002-000000074,N,NULL,NULL
373,9.10436E+11,1,1130705549,32721,001-002-000000059,N,NULL,NULL
374,9.10436E+11,1,1130705549,32721,001-002-000000059,N,NULL,NULL
375,9.10436E+11,1,1130705549,32721,001-002-000000059,N,NULL,NULL
376,9.10436E+11,1,1130705549,32722,001-002-000000060,N,NULL,NULL
377,9.10436E+11,1,1130705549,32722,001-002-000000060,N,NULL,NULL
378,9.10436E+11,1,1130705549,32722,001-002-000000060,N,NULL,NULL
379,9.09807E+11,1,1130503926,34226,001-002-000000075,N,NULL,NULL
380,9.10436E+11,1,1130705549,32723,001-002-000000061,N,NULL,NULL
381,9.10436E+11,1,1130705549,32723,001-002-000000061,N,NULL,NULL
382,9.10436E+11,1,1130705549,32723,001-002-000000061,N,NULL,NULL
383,9.09807E+11,1,1130503926,34227,001-002-000000076,N,NULL,NULL
384,9.09807E+11,1,1130503926,34228,001-002-000000077,N,NULL,NULL
385,9.09807E+11,1,1130503926,34229,001-002-000000078,N,NULL,NULL
386,9.09807E+11,1,1130503926,34230,001-002-000000079,N,NULL,NULL
387,9.10436E+11,1,1130705549,32724,001-002-000000062,N,NULL,NULL
388,9.10436E+11,1,1130705549,32724,001-002-000000062,N,NULL,NULL
389,9.10436E+11,1,1130705549,32724,001-002-000000062,N,NULL,NULL
390,9.09807E+11,1,1130503926,34231,001-002-000000080,N,NULL,NULL
391,9.09807E+11,1,1130503926,34232,001-002-000000081,N,NULL,NULL
392,9.09807E+11,1,1130503926,34233,001-002-000000082,N,NULL,NULL
393,9.10436E+11,1,1130705549,32725,001-002-000000063,N,NULL,NULL
394,9.10436E+11,1,1130705549,32725,001-002-000000063,N,NULL,NULL
395,9.10436E+11,1,1130705549,32725,001-002-000000063,N,NULL,NULL
396,9.10436E+11,1,1130705549,32726,001-002-000000064,N,NULL,NULL
397,9.10436E+11,1,1130705549,32726,001-002-000000064,N,NULL,NULL
398,9.10436E+11,1,1130705549,32726,001-002-000000064,N,NULL,NULL
399,9.09807E+11,1,1130503926,34234,001-002-000000083,N,NULL,NULL
400,9.09807E+11,1,1130503926,34235,001-002-000000084,N,NULL,NULL
401,9.10436E+11,1,1130705549,32727,001-002-000000065,N,NULL,NULL
402,9.10436E+11,1,1130705549,32727,001-002-000000065,N,NULL,NULL
403,9.10436E+11,1,1130705549,32727,001-002-000000065,N,NULL,NULL
404,9.09807E+11,1,1130503926,34236,001-002-000000085,N,NULL,NULL
405,9.10436E+11,1,1130705549,32728,001-002-000000066,N,NULL,NULL
406,9.10436E+11,1,1130705549,32728,001-002-000000066,N,NULL,NULL
407,9.10436E+11,1,1130705549,32728,001-002-000000066,N,NULL,NULL
408,9.09807E+11,1,1130503926,34237,001-002-000000086,N,NULL,NULL
